benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.subfile_stripe_size,vars.subfile_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,14,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0014/repetition_002,268435456,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0014/repetition_002/summary.txt,4668798,SUCCEEDED,2026-04-23 23:50:05,2026-04-23 23:51:05,Submitted batch job 4668798,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.4847,34.7212,2.98
Gys_io Benchmark - Subfiling,15,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_002,268435456,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_002/summary.txt,4668799,SUCCEEDED,2026-04-23 23:51:05,2026-04-23 23:52:06,Submitted batch job 4668799,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,20.1074,33.3675,3.18
Gys_io Benchmark - Subfiling,8,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0008/repetition_003,67108864,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0008/repetition_003/summary.txt,4668800,SUCCEEDED,2026-04-23 23:52:06,2026-04-23 23:53:36,Submitted batch job 4668800,,0,COMPLETING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,25.0491,39.3145,2.55
Gys_io Benchmark - Subfiling,19,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0019/repetition_002,536870912,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0019/repetition_002/summary.txt,4668801,SUCCEEDED,2026-04-23 23:53:36,2026-04-23 23:55:06,Submitted batch job 4668801,,0,COMPLETING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,20.616,34.0011,3.1
Gys_io Benchmark - Subfiling,9,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_002,134217728,2,pdi_sub2.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_002/summary.txt,4668805,SUCCEEDED,2026-04-23 23:55:06,2026-04-23 23:56:36,Submitted batch job 4668805,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,54,33.0921,47.277,1.93
Gys_io Benchmark - Subfiling,15,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_003,268435456,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_003/summary.txt,4668806,SUCCEEDED,2026-04-23 23:56:36,2026-04-23 23:58:07,Submitted batch job 4668806,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,54,33.4047,46.5054,1.92
Gys_io Benchmark - Subfiling,18,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0018/repetition_001,536870912,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0018/repetition_001/summary.txt,4668807,SUCCEEDED,2026-04-23 23:58:07,2026-04-23 23:59:37,Submitted batch job 4668807,,0,COMPLETING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,23.7127,37.0102,2.7
Gys_io Benchmark - Subfiling,20,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0020/repetition_002,536870912,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0020/repetition_002/summary.txt,4668808,SUCCEEDED,2026-04-23 23:59:37,2026-04-24 00:00:37,Submitted batch job 4668808,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,25.8557,39.0474,2.48
Gys_io Benchmark - Subfiling,7,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0007/repetition_003,67108864,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0007/repetition_003/summary.txt,4668812,SUCCEEDED,2026-04-24 00:00:37,2026-04-24 00:02:07,Submitted batch job 4668812,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,54,31.5361,44.8672,2.03
Gys_io Benchmark - Subfiling,6,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0006/repetition_002,67108864,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0006/repetition_002/summary.txt,4668813,SUCCEEDED,2026-04-24 00:02:08,2026-04-24 00:03:38,Submitted batch job 4668813,,0,COMPLETING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,27.8298,41.2654,2.3
