benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sw,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,1,1,5,/beegfs/aloupoue/iops_runs/run_061,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_001,1,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_001/summary.txt,4673743,SUCCEEDED,2026-04-28 09:51:08,2026-04-28 09:53:58,Submitted batch job 4673743,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,147,111.519,134.047,0.57
Gys_io Benchmark - Subfiling,1,2,5,/beegfs/aloupoue/iops_runs/run_061,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_002,1,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_002/summary.txt,4673745,SUCCEEDED,2026-04-28 09:53:59,2026-04-28 09:56:46,Submitted batch job 4673745,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,147,110.927,133.39,0.58
Gys_io Benchmark - Subfiling,1,3,5,/beegfs/aloupoue/iops_runs/run_061,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_003,1,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_003/summary.txt,4673750,SUCCEEDED,2026-04-28 09:56:55,2026-04-28 10:06:27,Submitted batch job 4673750,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,126,91.5035,112.0,0.7
Gys_io Benchmark - Subfiling,1,4,5,/beegfs/aloupoue/iops_runs/run_061,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_004,1,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_004/summary.txt,4673763,SUCCEEDED,2026-04-28 10:06:28,2026-04-28 11:48:07,Submitted batch job 4673763,,0,RUNNING,COMPLETED,0:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,128,93.0841,114.837,0.69
Gys_io Benchmark - Subfiling,1,5,5,/beegfs/aloupoue/iops_runs/run_061,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_005,1,/beegfs/aloupoue/iops_runs/run_061/runs/exec_0001/repetition_005/summary.txt,4673885,FAILED,2026-04-28 11:48:14,2026-04-28 11:54:14,Submitted batch job 4673885,,0,RUNNING,FAILED,14:0,bora025.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,128,,,
