benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,7,2,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_002,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_002/summary.txt,4541341,SUCCEEDED,2026-03-04 10:27:37,2026-03-04 10:28:37,Submitted batch job 4541341,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,24.8085,38.942,2256.0
Gys_io Benchmark - Stripe Count Study,1,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_004,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_004/summary.txt,4541356,FAILED,2026-03-04 10:28:37,2026-03-04 10:29:07,Submitted batch job 4541356,,0,PENDING,FAILED,6:0,,,,,,,,,,,,
Gys_io Benchmark - Stripe Count Study,8,3,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_003,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_003/summary.txt,4541360,SUCCEEDED,2026-03-04 10:29:07,2026-03-04 10:30:07,Submitted batch job 4541360,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,33,14.4676,28.5989,3868.51
Gys_io Benchmark - Stripe Count Study,8,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_004,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_004/summary.txt,4541371,SUCCEEDED,2026-03-04 10:30:08,2026-03-04 10:31:08,Submitted batch job 4541371,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,34,14.9567,28.4619,3742.0
Gys_io Benchmark - Stripe Count Study,5,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_004,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_004/summary.txt,4541373,SUCCEEDED,2026-03-04 10:31:08,2026-03-04 10:32:08,Submitted batch job 4541373,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,16.531,30.2792,3385.64
Gys_io Benchmark - Stripe Count Study,8,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_005,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0008/repetition_005/summary.txt,4541380,SUCCEEDED,2026-03-04 10:32:08,2026-03-04 10:33:08,Submitted batch job 4541380,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,12.7521,26.0024,4388.92
Gys_io Benchmark - Stripe Count Study,1,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_005,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0001/repetition_005/summary.txt,4541392,SUCCEEDED,2026-03-04 10:33:09,2026-03-04 10:34:39,Submitted batch job 4541392,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,84,64.9562,79.8439,861.63
Gys_io Benchmark - Stripe Count Study,4,3,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_003,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_003/summary.txt,4541393,SUCCEEDED,2026-03-04 10:34:39,2026-03-04 10:35:39,Submitted batch job 4541393,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,23.3335,37.6847,2398.61
Gys_io Benchmark - Stripe Count Study,6,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0006/repetition_004,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0006/repetition_004/summary.txt,4541397,SUCCEEDED,2026-03-04 10:35:39,2026-03-04 10:36:39,Submitted batch job 4541397,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.0606,35.0182,2657.47
Gys_io Benchmark - Stripe Count Study,4,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_004,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_004/summary.txt,4541398,SUCCEEDED,2026-03-04 10:36:39,2026-03-04 10:37:40,Submitted batch job 4541398,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.8114,35.3771,2566.0
Gys_io Benchmark - Stripe Count Study,6,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0006/repetition_005,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0006/repetition_005/summary.txt,4541400,SUCCEEDED,2026-03-04 10:37:40,2026-03-04 10:38:40,Submitted batch job 4541400,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,24.0852,37.9569,2323.75
Gys_io Benchmark - Stripe Count Study,4,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_005,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0004/repetition_005/summary.txt,4541401,SUCCEEDED,2026-03-04 10:38:40,2026-03-04 10:39:40,Submitted batch job 4541401,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,21.3967,34.9047,2615.73
Gys_io Benchmark - Stripe Count Study,5,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_005,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0005/repetition_005/summary.txt,4541402,SUCCEEDED,2026-03-04 10:39:40,2026-03-04 10:40:40,Submitted batch job 4541402,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.6996,36.2643,2579.22
Gys_io Benchmark - Stripe Count Study,7,3,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_003,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_003/summary.txt,4541406,SUCCEEDED,2026-03-04 10:40:41,2026-03-04 10:41:41,Submitted batch job 4541406,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,53,26.5375,41.6933,2109.02
Gys_io Benchmark - Stripe Count Study,7,4,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_004,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_004/summary.txt,4541407,SUCCEEDED,2026-03-04 10:41:41,2026-03-04 10:42:41,Submitted batch job 4541407,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,27.4756,40.7609,2037.01
Gys_io Benchmark - Stripe Count Study,7,5,5,/beegfs/aloupoue/iops_runs/run_001,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_005,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_001/runs/exec_0007/repetition_005/summary.txt,4541408,SUCCEEDED,2026-03-04 10:42:41,2026-03-04 10:43:41,Submitted batch job 4541408,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,23.3053,37.5632,2401.51
