benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.subfile_stripe_size,vars.subfile_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,21,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0021/repetition_001,536870912,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0021/repetition_001/summary.txt,4656458,SUCCEEDED,2026-04-14 19:39:29,2026-04-14 21:21:35,Submitted batch job 4656458,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,50,16.596,39.4496,3.86
Gys_io Benchmark - Subfiling,17,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0017/repetition_001,268435456,16,pdi_sub16.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0017/repetition_001/summary.txt,4656529,SUCCEEDED,2026-04-14 21:21:35,2026-04-14 21:59:37,Submitted batch job 4656529,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,14.3307,36.1676,4.47
Gys_io Benchmark - Subfiling,25,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0025/repetition_001,536870912,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0025/repetition_001/summary.txt,4656554,SUCCEEDED,2026-04-14 21:59:37,2026-04-14 22:34:09,Submitted batch job 4656554,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,16.2909,37.1369,3.93
Gys_io Benchmark - Subfiling,10,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0010/repetition_001,67108864,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0010/repetition_001/summary.txt,4656582,SUCCEEDED,2026-04-14 22:34:09,2026-04-14 23:00:11,Submitted batch job 4656582,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,16.4125,37.785,3.9
Gys_io Benchmark - Subfiling,18,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0018/repetition_001,268435456,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0018/repetition_001/summary.txt,4656607,SUCCEEDED,2026-04-14 23:00:11,2026-04-14 23:24:12,Submitted batch job 4656607,,0,RUNNING,COMPLETED,0:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,49,15.0419,37.1116,4.25
Gys_io Benchmark - Subfiling,23,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0023/repetition_001,536870912,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0023/repetition_001/summary.txt,4656622,FAILED,2026-04-14 23:24:12,2026-04-14 23:45:43,Submitted batch job 4656622,,0,RUNNING,FAILED,14:0,,,,,,,,,,,,
Gys_io Benchmark - Subfiling,3,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0003/repetition_001,33554432,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0003/repetition_001/summary.txt,4656642,FAILED,2026-04-14 23:45:44,2026-04-14 23:46:14,Submitted batch job 4656642,,0,PENDING,FAILED,1:0,,,,,,,,,,,,
Gys_io Benchmark - Subfiling,8,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0008/repetition_001,67108864,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0008/repetition_001/summary.txt,4656643,FAILED,2026-04-14 23:46:14,2026-04-14 23:46:44,Submitted batch job 4656643,,0,PENDING,FAILED,1:0,,,,,,,,,,,,
Gys_io Benchmark - Subfiling,5,1,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0005/repetition_001,33554432,128,pdi_sub128.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0005/repetition_001/summary.txt,4656644,FAILED,2026-04-14 23:46:44,2026-04-14 23:47:14,Submitted batch job 4656644,,0,PENDING,FAILED,1:0,,,,,,,,,,,,
Gys_io Benchmark - Subfiling,17,2,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0017/repetition_002,268435456,16,pdi_sub16.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0017/repetition_002/summary.txt,4656645,FAILED,2026-04-14 23:47:14,2026-04-14 23:47:44,Submitted batch job 4656645,,0,PENDING,FAILED,1:0,bora001.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,,,
Gys_io Benchmark - Subfiling,23,2,5,/beegfs/aloupoue/iops_runs/run_060,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0023/repetition_002,536870912,32,pdi_sub32.yaml,/beegfs/aloupoue/iops_runs/run_060/runs/exec_0023/repetition_002/summary.txt,4656646,FAILED,2026-04-14 23:47:44,2026-04-14 23:48:14,Submitted batch job 4656646,,0,PENDING,FAILED,1:0,,,,,,,,,,,,
