benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,6,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_001,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_001/summary.txt,4524546,SUCCEEDED,2026-02-23 16:45:36,2026-02-23 16:47:36,Submitted batch job 4524546,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,22.6,37.1712,2476.46
Gys_io Benchmark - Stripe Count Study,5,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_003,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_003/summary.txt,4524557,SUCCEEDED,2026-02-23 16:47:36,2026-02-23 17:09:38,Submitted batch job 4524557,,0,COMPLETING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,52,25.2965,40.9293,2212.48
Gys_io Benchmark - Stripe Count Study,7,1,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_001,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_001/summary.txt,4524579,SUCCEEDED,2026-02-23 17:09:38,2026-02-23 17:11:38,Submitted batch job 4524579,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,22.9287,37.4217,2440.96
Gys_io Benchmark - Stripe Count Study,8,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_002,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_002/summary.txt,4524586,SUCCEEDED,2026-02-23 17:11:38,2026-02-23 17:14:38,Submitted batch job 4524586,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,18.0421,33.239,3102.08
Gys_io Benchmark - Stripe Count Study,6,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_002,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_002/summary.txt,4524591,SUCCEEDED,2026-02-23 17:14:39,2026-02-23 17:16:39,Submitted batch job 4524591,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,23.4534,36.7861,2386.35
Gys_io Benchmark - Stripe Count Study,3,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_005,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0003/repetition_005/summary.txt,4524596,SUCCEEDED,2026-02-23 17:16:39,2026-02-23 17:18:09,Submitted batch job 4524596,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,50,28.329,41.8569,1975.64
Gys_io Benchmark - Stripe Count Study,4,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_002,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_002/summary.txt,4524599,SUCCEEDED,2026-02-23 17:18:09,2026-02-23 17:19:09,Submitted batch job 4524599,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,22.1331,36.1451,2528.7
Gys_io Benchmark - Stripe Count Study,6,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_003,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_003/summary.txt,4524601,SUCCEEDED,2026-02-23 17:19:09,2026-02-23 17:20:39,Submitted batch job 4524601,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,23.0522,37.6942,2427.88
Gys_io Benchmark - Stripe Count Study,2,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_005,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0002/repetition_005/summary.txt,4524606,SUCCEEDED,2026-02-23 17:20:39,2026-02-23 17:23:10,Submitted batch job 4524606,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,63,44.0924,58.5851,1269.33
Gys_io Benchmark - Stripe Count Study,1,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_003,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_003/summary.txt,4524609,SUCCEEDED,2026-02-23 17:23:10,2026-02-23 17:24:40,Submitted batch job 4524609,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,74,53.7733,68.4712,1040.81
