benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.subfile_stripe_size,vars.subfile_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,15,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_001,268435456,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0015/repetition_001/summary.txt,4666996,SUCCEEDED,2026-04-22 14:18:58,2026-04-22 14:33:02,Submitted batch job 4666996,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,17.51,36.93,3.66
Gys_io Benchmark - Subfiling,16,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0016/repetition_001,268435456,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0016/repetition_001/summary.txt,4667013,SUCCEEDED,2026-04-22 14:33:04,2026-04-22 14:34:34,Submitted batch job 4667013,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,14.5201,34.2627,4.41
Gys_io Benchmark - Subfiling,2,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_001,33554432,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_001/summary.txt,4667015,SUCCEEDED,2026-04-22 14:34:35,2026-04-22 14:36:35,Submitted batch job 4667015,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,65,45.9631,55.9811,1.39
Gys_io Benchmark - Subfiling,14,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0014/repetition_001,268435456,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0014/repetition_001/summary.txt,4667022,SUCCEEDED,2026-04-22 14:36:35,2026-04-22 14:38:05,Submitted batch job 4667022,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,25.6882,36.0868,2.49
Gys_io Benchmark - Subfiling,6,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0006/repetition_001,67108864,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0006/repetition_001/summary.txt,4667024,SUCCEEDED,2026-04-22 14:38:06,2026-04-22 14:39:36,Submitted batch job 4667024,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,60,30.4654,51.0007,2.1
Gys_io Benchmark - Subfiling,11,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0011/repetition_001,134217728,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0011/repetition_001/summary.txt,4667025,SUCCEEDED,2026-04-22 14:39:37,2026-04-22 14:41:07,Submitted batch job 4667025,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,52,27.203,44.1069,2.35
Gys_io Benchmark - Subfiling,4,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0004/repetition_001,33554432,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0004/repetition_001/summary.txt,4667032,SUCCEEDED,2026-04-22 14:41:07,2026-04-22 14:42:37,Submitted batch job 4667032,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,50,22.6279,40.7032,2.83
Gys_io Benchmark - Subfiling,3,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0003/repetition_001,33554432,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0003/repetition_001/summary.txt,4667035,SUCCEEDED,2026-04-22 14:42:37,2026-04-22 14:44:07,Submitted batch job 4667035,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,56,27.94,47.9349,2.29
Gys_io Benchmark - Subfiling,16,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0016/repetition_002,268435456,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0016/repetition_002/summary.txt,4667036,SUCCEEDED,2026-04-22 14:44:07,2026-04-22 14:45:37,Submitted batch job 4667036,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,14.9127,33.927,4.29
Gys_io Benchmark - Subfiling,13,1,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0013/repetition_001,268435456,2,pdi_sub2.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0013/repetition_001/summary.txt,4667043,SUCCEEDED,2026-04-22 14:45:38,2026-04-22 14:47:40,Submitted batch job 4667043,,0,RUNNING,COMPLETED,0:0,bora011.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,81,49.5276,71.6003,1.29
